"emp_id","emp_name","age","sex","doj","city","department","salary"
240,"Aaliyah Wright",26,"F","2018-03-30","San Francisco","Supply Chain",56000
200,"Benjamin Campbell",31,"M","2015-09-30","Miami","Sales",62380.95238095238
205,"Avery Martinez",23,"F","2021-02-25","Las Vegas","Sales",62380.95238095238
207,"Bella Perez",26,"F","2017-05-23","New York","Marketing",56600
213,"Evelyn Turner",28,"F","2017-08-08","Houston","Sales",62380.95238095238
225,"Avery Scott",27,"F","2018-06-15","Denver","Analytics",60526.31578947369
230,"Mia Mitchell",25,"F","2019-01-05","Los Angeles","Analytics",60526.31578947369
233,"Benjamin Perez",24,"M","2020-02-18","Washington DC","Sales",62380.95238095238
238,"Emily Wood",31,"F","2014-12-30","New York","Sales",62380.95238095238
216,"Henry Lee",23,"M","2021-04-12","Las Vegas","Supply Chain",61153.846153846156
